ano;mes;campo_pai;subconta;valor
2021;set;Ativo NC;Imobilizado de Baixo 421023-0;5930,79
2021;set;despesas financeiras líquidas;Juros Pagos a Fornec 421040-1;8345,84
2021;set;Disponibilidades entradas;Caixa Cofre 111010-1;1106898,88
2021;set;Disponibilidades Saida;Caixa Cofre 111010-1;1135318,66
2021;set;Disponibilidades entradas;Caixa Retaguarda 111010-3;55669,67
2021;set;Disponibilidades Saida;Caixa Retaguarda 111010-3;52950,16
2021;set;Disponibilidades entradas;Caixa Custodia 111010-4;13548,33
2021;set;Disponibilidades Saida;Caixa Custodia 111010-4;11561,81
2021;set;Disponibilidades entradas;C/C Banco Itaú 16526 111020-1;1815494,86
2021;set;Disponibilidades Saida;C/C Banco Itaú 16526 111020-1;7554204,84
2021;set;Disponibilidades entradas;C/C Banco Bradesco 2 111020-8;1012095,04
2021;set;Disponibilidades entradas;BANCO ITAU 16526-9 A 111021-6;8597,27
2021;set;Disponibilidades entradas;BANCO ITAU 16526-9 A 111021-7;9817,75
2021;set;Disponibilidades entradas;BANCO ITAU 16526-9 A 111021-8;1008642,29
2021;dez;disponibilidades saldo;Caixa Cofre 111010-1;14711,37
2021;dez;disponibilidades saldo;Caixa Retaguarda 111010-3;16325,95
2021;dez;disponibilidades saldo;Caixa Custodia 111010-4;2106,82
2021;dez;disponibilidades saldo;C/C Banco Itaú 16526 111020-1;-1757600,86
2021;dez;disponibilidades saldo;C/C Banco Bradesco 2 111020-8;4623873,51
2021;dez;disponibilidades saldo;c/c Banco Itaú 19465 111021-0;27,6
2021;dez;disponibilidades saldo;c/c Banco safra 583 111021-9;-894215,27
2021;dez;contas a receber saldo;Duplicatas a Receber 112010-1;455188,53
2021;dez;contas a receber saldo;Cartoes a Receber 112010-2;16511475,83
2021;dez;Outros AC;Adiantamento a Forne 112060-1;148310,36
2021;dez;Outros AC;Adiantamento a Funci 112060-2;41725,39
2021;dez;Outros AC;Adiantamentos a fuci 112060-5;30,9
2021;dez;Outros AC;Impostos e Taxas a A 114010-5;1133,53
2021;dez;Ativo NC;Edificacoes 132010-2;1000000,0
2021;dez;Ativo NC;Maquinas Equipamento 132010-3;443353,33
2021;dez;Ativo NC;Moveis Utensilios 132010-4;87041,25
2021;dez;Ativo NC;Veiculos 132010-5;164811,0
2021;dez;Ativo NC;(-) Depreciacao Acum 132010-6;-297769,26
2021;dez;contas a pagar de fornecedores saldo;Fornecedores de Merc 211010-1;2705316,84
2021;dez;contas a pagar de fornecedores saldo;Outros Fornecedores 211010-2;72419,32
2021;dez;Outros AC;Adiantamentos de Cli 211030-1;23934,53
2021;dez;Outros AC;Adiantamento de Cart 211030-6;4724,7
2021;dez;Outros PC;Provisoes 13 Salari 211080-2;22338,62
2021;dez;Outros PC;Provisoes Encargos 211080-3;43193,01
2021;dez;receita bruta de vendas;Venda Balcao a Vista 311010-1;3794812,54
2021;dez;receita bruta de vendas;Venda Balcao a Prazo 311010-2;3262526,91
2021;dez;receita bruta de vendas;Venda Tele-Vendas a 311010-3;193,91
2021;dez;receita bruta de vendas;Vendas de Servicos a 311020-1;60066,84
2021;dez;receita bruta de vendas;Vendas de Servicos a 311020-2;210070,6
2021;dez;despesas financeiras líquidas;Juros Recebidos 312010-1;24942,76
2021;dez;CMV (custo da mercadoria vendida);Custo da Mercadoria 411020-1;4572305,55
2021;dez;Outros PC;Salarios 421010-1;246012,36
2021;dez;Outros PC;13 Salario 421010-5;70482,69
2021;dez;despesas comerciais;Comissoes sobre resu 421010-6;3451,82
2021;dez;despesas administrativas;Energia Eletrica 421011-2;17988,22
2021;dez;Outros PC;Despesa Salario Fami 421012-0;3640,17
2021;dez;despesas administrativas;Honorarios Contabeis 421020-2;7875,0
2021;dez;despesas administrativas;Honorarios Juridicos 421020-3;3300,0
2021;dez;despesas administrativas;Material de Consumo 421020-4;9233,82
2021;dez;despesas administrativas;Telefone 421020-6;5036,75
2021;dez;despesas administrativas;Agua 421020-7;5056,97
2021;dez;despesas administrativas;Combustiveis 421020-9;1207,35
2021;dez;despesas administrativas;Seguros 421021-0;2031,82
2021;dez;despesas administrativas;Consertos e Reparos 421021-1;19903,61
2021;dez;despesas administrativas;Graficas e Impressos 421021-2;4528,9
2021;dez;despesas administrativas;Limpeza e Conservaca 421021-6;4723,82
2021;dez;despesas administrativas;Copa e Cozinha 421021-7;1326,77
2021;dez;despesas administrativas;Mensalidades de Asso 421021-8;4878,25
2021;dez;despesas comerciais;Brindes e Doacoes 421021-9;5408,37
2021;dez;despesas administrativas;Despesas Medicas e H 421022-2;300,0
2021;dez;Ativo NC;Imobilizado de Baixo 421023-0;3778,01
2021;dez;despesas financeiras líquidas;Juros Pagos a Fornec 421040-1;9588,79
2021;dez;Disponibilidades entradas;Caixa Cofre 111010-1;928503,47
2021;dez;Disponibilidades Saida;Caixa Cofre 111010-1;926742,47
2021;dez;Disponibilidades entradas;Caixa Retaguarda 111010-3;55749,9
2021;dez;Disponibilidades Saida;Caixa Retaguarda 111010-3;50172,72
2021;dez;Disponibilidades entradas;Caixa Custodia 111010-4;3016,0
2021;dez;Disponibilidades Saida;Caixa Custodia 111010-4;7895,62
2021;dez;Disponibilidades entradas;C/C Banco Itaú 16526 111020-1;14470916,98
2021;dez;Disponibilidades Saida;C/C Banco Itaú 16526 111020-1;9085890,92
2021;dez;Disponibilidades entradas;C/C Banco Bradesco 2 111020-8;915194,62
2021;dez;Disponibilidades entradas;c/c Banco safra 583 111021-9;2362076,93
2021;dez;Disponibilidades Saida;c/c Banco safra 583 111021-9;3256292,2
